Size Allocations Report: 81 different sizes allocated.

Magic overhead per allocation: 4 bytes

Size       Alloc      Count      Waste     
--------------------------------------
2          16         1          10        
3          16         7          63        
4          16         8          64        
5          16         20         140       
6          16         18         108       
7          16         29         145       
8          16         1008       4032      
9          16         8          24        
10         16         37         74        
11         16         69         69        
12         16         22         0         
13         28         29         319       
14         28         18         180       
15         28         16         144       
16         28         8          64        
17         28         1287       9009      
18         28         18         108       
19         28         19         95        
20         28         47         188       
21         28         19         57        
22         28         36         72        
23         28         2288       2288      
24         28         13386      0         
25         36         19         133       
26         36         24         144       
27         36         41         205       
28         36         28         112       
29         36         20         60        
30         36         18         36        
31         36         34         34        
32         36         30632      0         
33         44         27         189       
34         44         16         96        
35         44         26         130       
36         44         10         40        
37         44         19         57        
38         44         9          18        
39         44         11         11        
40         44         4255       0         
41         68         7          161       
42         68         7          154       
43         68         4          84        
44         68         3          60        
45         68         5          95        
46         68         5          90        
47         68         4          68        
48         68         2          32        
49         68         2          30        
51         68         5          65        
52         68         6          72        
53         68         1          11        
54         68         1          10        
56         68         9          72        
58         68         1          6         
60         68         2          8         
64         68         5          0         
68         132        1          60        
71         132        1          57        
88         132        8          320       
101        132        1          27        
102        132        1          26        
111        132        1          17        
119        132        1          9         
124        132        1          4         
128        132        10923      0         
151        260        1          105       
175        260        1          81        
204        260        1          52        
233        260        1          23        
256        260        2173       0         
512        516        12         0         
1024       1028       14         0         
2048       2052       22         0         
4096       4100       7          0         
4608       4612       0          0         
8192       9220       2          2048      
9216       9220       1          0         
16384      18436      0          0         
32768      32772      2          0         
65536      65540      0          0         
131072     131076     2          0         

Total wasted memory due to allocation overhead: 22365 bytes
