sweep_value,run,ticks,seconds,total_damage,damage_per_tick,attacker_won,defender_won,timed_out,attack_rolls,hits,misses,parries,dodges,blocks,hit_rate,miss_rate,parry_rate,dodge_rate,block_rate
100,1,8,2.0000,31,3.8750,1,0,0,15,7,8,0,0,0,0.4667,0.5333,0.0000,0.0000,0.0000
100,2,6,1.5000,34,5.6667,1,0,0,11,8,3,0,0,0,0.7273,0.2727,0.0000,0.0000,0.0000
100,3,8,2.0000,39,4.8750,1,0,0,15,9,6,0,0,0,0.6000,0.4000,0.0000,0.0000,0.0000
100,4,9,2.2500,28,3.1111,1,0,0,17,7,10,0,0,0,0.4118,0.5882,0.0000,0.0000,0.0000
100,5,8,2.0000,37,4.6250,1,0,0,15,9,6,0,0,0,0.6000,0.4000,0.0000,0.0000,0.0000
100,6,9,2.2500,35,3.8889,1,0,0,17,9,8,0,0,0,0.5294,0.4706,0.0000,0.0000,0.0000
100,7,8,2.0000,30,3.7500,1,0,0,15,8,7,0,0,0,0.5333,0.4667,0.0000,0.0000,0.0000
100,8,15,3.7500,31,2.0667,0,1,0,30,11,19,0,1,0,0.3667,0.6333,0.0000,0.0333,0.0000
100,9,8,2.0000,41,5.1250,0,1,0,16,10,6,0,0,0,0.6250,0.3750,0.0000,0.0000,0.0000
100,10,11,2.7500,36,3.2727,0,1,0,22,10,12,0,0,0,0.4545,0.5455,0.0000,0.0000,0.0000
100,11,17,4.2500,42,2.4706,1,0,0,33,13,20,0,0,0,0.3939,0.6061,0.0000,0.0000,0.0000
100,12,9,2.2500,37,4.1111,1,0,0,17,10,7,0,0,0,0.5882,0.4118,0.0000,0.0000,0.0000
100,13,9,2.2500,39,4.3333,1,0,0,17,12,5,0,0,0,0.7059,0.2941,0.0000,0.0000,0.0000
100,14,14,3.5000,43,3.0714,1,0,0,27,13,14,0,1,0,0.4815,0.5185,0.0000,0.0370,0.0000
100,15,8,2.0000,32,4.0000,1,0,0,15,7,8,0,0,0,0.4667,0.5333,0.0000,0.0000,0.0000
100,16,8,2.0000,35,4.3750,1,0,0,15,9,6,0,0,0,0.6000,0.4000,0.0000,0.0000,0.0000
100,17,13,3.2500,31,2.3846,1,0,0,25,10,15,0,0,0,0.4000,0.6000,0.0000,0.0000,0.0000
100,18,9,2.2500,37,4.1111,1,0,0,17,11,6,0,0,0,0.6471,0.3529,0.0000,0.0000,0.0000
100,19,7,1.7500,36,5.1429,1,0,0,13,10,3,0,0,0,0.7692,0.2308,0.0000,0.0000,0.0000
100,20,19,4.7500,40,2.1053,1,0,0,37,13,24,0,0,0,0.3514,0.6486,0.0000,0.0000,0.0000
100,21,10,2.5000,37,3.7000,1,0,0,19,10,9,0,0,0,0.5263,0.4737,0.0000,0.0000,0.0000
100,22,9,2.2500,37,4.1111,1,0,0,17,10,7,0,0,0,0.5882,0.4118,0.0000,0.0000,0.0000
100,23,11,2.7500,34,3.0909,1,0,0,21,10,11,0,0,0,0.4762,0.5238,0.0000,0.0000,0.0000
100,24,11,2.7500,31,2.8182,1,0,0,21,9,12,0,0,0,0.4286,0.5714,0.0000,0.0000,0.0000
100,25,10,2.5000,46,4.6000,1,0,0,19,12,7,0,0,0,0.6316,0.3684,0.0000,0.0000,0.0000
100,26,11,2.7500,34,3.0909,1,0,0,21,10,11,0,0,0,0.4762,0.5238,0.0000,0.0000,0.0000
100,27,5,1.2500,32,6.4000,1,0,0,9,7,2,0,1,0,0.7778,0.2222,0.0000,0.1111,0.0000
100,28,11,2.7500,38,3.4545,1,0,0,21,11,10,0,0,0,0.5238,0.4762,0.0000,0.0000,0.0000
100,29,9,2.2500,36,4.0000,1,0,0,17,9,8,0,0,0,0.5294,0.4706,0.0000,0.0000,0.0000
100,30,8,2.0000,36,4.5000,1,0,0,15,9,6,0,0,0,0.6000,0.4000,0.0000,0.0000,0.0000
100,31,14,3.5000,43,3.0714,1,0,0,27,13,14,0,0,0,0.4815,0.5185,0.0000,0.0000,0.0000
100,32,6,1.5000,30,5.0000,1,0,0,11,6,5,0,0,0,0.5455,0.4545,0.0000,0.0000,0.0000
100,33,9,2.2500,30,3.3333,1,0,0,17,9,8,0,0,0,0.5294,0.4706,0.0000,0.0000,0.0000
100,34,14,3.5000,43,3.0714,1,0,0,27,13,14,0,0,0,0.4815,0.5185,0.0000,0.0000,0.0000
100,35,9,2.2500,33,3.6667,1,0,0,17,9,8,0,0,0,0.5294,0.4706,0.0000,0.0000,0.0000
100,36,8,2.0000,31,3.8750,1,0,0,15,8,7,0,0,0,0.5333,0.4667,0.0000,0.0000,0.0000
100,37,7,1.7500,30,4.2857,1,0,0,13,9,4,0,0,0,0.6923,0.3077,0.0000,0.0000,0.0000
100,38,13,3.2500,39,3.0000,1,0,0,25,11,14,0,0,0,0.4400,0.5600,0.0000,0.0000,0.0000
100,39,9,2.2500,38,4.2222,1,0,0,17,10,7,0,0,0,0.5882,0.4118,0.0000,0.0000,0.0000
100,40,10,2.5000,39,3.9000,1,0,0,19,8,11,0,0,0,0.4211,0.5789,0.0000,0.0000,0.0000
100,41,15,3.7500,40,2.6667,1,0,0,29,12,17,0,1,0,0.4138,0.5862,0.0000,0.0345,0.0000
100,42,11,2.7500,36,3.2727,1,0,0,21,9,12,0,0,0,0.4286,0.5714,0.0000,0.0000,0.0000
100,43,7,1.7500,40,5.7143,1,0,0,13,11,2,0,0,0,0.8462,0.1538,0.0000,0.0000,0.0000
100,44,6,1.5000,36,6.0000,1,0,0,11,10,1,0,0,0,0.9091,0.0909,0.0000,0.0000,0.0000
100,45,11,2.7500,43,3.9091,1,0,0,21,13,8,0,0,0,0.6190,0.3810,0.0000,0.0000,0.0000
100,46,10,2.5000,27,2.7000,1,0,0,19,8,11,0,1,0,0.4211,0.5789,0.0000,0.0526,0.0000
100,47,10,2.5000,30,3.0000,1,0,0,19,9,10,0,0,0,0.4737,0.5263,0.0000,0.0000,0.0000
100,48,7,1.7500,38,5.4286,1,0,0,13,12,1,0,0,0,0.9231,0.0769,0.0000,0.0000,0.0000
100,49,12,3.0000,38,3.1667,1,0,0,23,11,12,0,0,0,0.4783,0.5217,0.0000,0.0000,0.0000
100,50,8,2.0000,37,4.6250,1,0,0,15,9,6,0,0,0,0.6000,0.4000,0.0000,0.0000,0.0000
100,51,8,2.0000,24,3.0000,1,0,0,15,7,8,0,1,0,0.4667,0.5333,0.0000,0.0667,0.0000
100,52,9,2.2500,32,3.5556,1,0,0,17,10,7,0,0,0,0.5882,0.4118,0.0000,0.0000,0.0000
100,53,10,2.5000,32,3.2000,1,0,0,19,7,12,0,0,0,0.3684,0.6316,0.0000,0.0000,0.0000
100,54,13,3.2500,39,3.0000,0,1,0,26,12,14,0,0,0,0.4615,0.5385,0.0000,0.0000,0.0000
100,55,10,2.5000,35,3.5000,0,1,0,20,10,10,0,0,0,0.5000,0.5000,0.0000,0.0000,0.0000
100,56,10,2.5000,33,3.3000,1,0,0,19,10,9,0,0,0,0.5263,0.4737,0.0000,0.0000,0.0000
100,57,6,1.5000,23,3.8333,1,0,0,11,4,7,0,0,0,0.3636,0.6364,0.0000,0.0000,0.0000
100,58,7,1.7500,28,4.0000,1,0,0,13,7,6,0,0,0,0.5385,0.4615,0.0000,0.0000,0.0000
100,59,11,2.7500,37,3.3636,1,0,0,21,9,12,0,0,0,0.4286,0.5714,0.0000,0.0000,0.0000
100,60,6,1.5000,33,5.5000,1,0,0,11,7,4,0,0,0,0.6364,0.3636,0.0000,0.0000,0.0000
100,61,12,3.0000,40,3.3333,1,0,0,23,11,12,0,0,0,0.4783,0.5217,0.0000,0.0000,0.0000
100,62,11,2.7500,31,2.8182,1,0,0,21,11,10,0,0,0,0.5238,0.4762,0.0000,0.0000,0.0000
100,63,10,2.5000,32,3.2000,1,0,0,19,8,11,0,0,0,0.4211,0.5789,0.0000,0.0000,0.0000
100,64,8,2.0000,35,4.3750,1,0,0,15,8,7,0,0,0,0.5333,0.4667,0.0000,0.0000,0.0000
100,65,10,2.5000,34,3.4000,1,0,0,19,9,10,0,0,0,0.4737,0.5263,0.0000,0.0000,0.0000
100,66,9,2.2500,40,4.4444,1,0,0,17,10,7,0,0,0,0.5882,0.4118,0.0000,0.0000,0.0000
100,67,7,1.7500,38,5.4286,1,0,0,13,9,4,0,1,0,0.6923,0.3077,0.0000,0.0769,0.0000
100,68,7,1.7500,33,4.7143,1,0,0,13,9,4,0,0,0,0.6923,0.3077,0.0000,0.0000,0.0000
100,69,7,1.7500,36,5.1429,1,0,0,13,9,4,0,0,0,0.6923,0.3077,0.0000,0.0000,0.0000
100,70,8,2.0000,44,5.5000,1,0,0,15,10,5,0,0,0,0.6667,0.3333,0.0000,0.0000,0.0000
