run,ticks,seconds,total_damage,damage_per_tick,attacker_won,defender_won,timed_out,spells_cast,mana_spent,attack_rolls,hits,misses,parries,dodges,blocks,hit_rate,miss_rate,parry_rate,dodge_rate,block_rate
1,11,2.7500,39,3.5455,1,0,0,5,51,20,7,13,0,2,0,0.3500,0.6500,0.0000,0.1000,0.0000
2,3,0.7500,30,10.0000,1,0,0,2,30,4,2,2,0,0,0,0.5000,0.5000,0.0000,0.0000,0.0000
3,3,0.7500,43,14.3333,1,0,0,3,45,4,4,0,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000
4,5,1.2500,36,7.2000,1,0,0,3,37,8,5,3,0,0,0,0.6250,0.3750,0.0000,0.0000,0.0000
5,2,0.5000,43,21.5000,1,0,0,2,30,2,1,1,0,0,0,0.5000,0.5000,0.0000,0.0000,0.0000
6,4,1.0000,46,11.5000,1,0,0,3,37,6,4,2,0,0,0,0.6667,0.3333,0.0000,0.0000,0.0000
7,6,1.5000,28,4.6667,1,0,0,3,45,10,4,6,0,0,0,0.4000,0.6000,0.0000,0.0000,0.0000
8,5,1.2500,23,4.6000,1,0,0,5,51,8,1,7,0,0,0,0.1250,0.8750,0.0000,0.0000,0.0000
9,4,1.0000,27,6.7500,1,0,0,3,37,6,2,4,0,1,0,0.3333,0.6667,0.0000,0.1667,0.0000
10,4,1.0000,32,8.0000,1,0,0,3,37,6,4,2,0,0,0,0.6667,0.3333,0.0000,0.0000,0.0000
11,5,1.2500,38,7.6000,1,0,0,3,45,8,3,5,0,0,0,0.3750,0.6250,0.0000,0.0000,0.0000
12,6,1.5000,24,4.0000,1,0,0,4,52,11,1,10,0,0,0,0.0909,0.9091,0.0000,0.0000,0.0000
13,7,1.7500,34,4.8571,1,0,0,6,66,12,5,7,0,0,0,0.4167,0.5833,0.0000,0.0000,0.0000
14,5,1.2500,32,6.4000,1,0,0,4,52,8,5,3,0,0,0,0.6250,0.3750,0.0000,0.0000,0.0000
15,3,0.7500,41,13.6667,1,0,0,3,45,4,2,2,0,0,0,0.5000,0.5000,0.0000,0.0000,0.0000
16,8,2.0000,43,5.3750,1,0,0,3,45,14,7,7,0,2,0,0.5000,0.5000,0.0000,0.1429,0.0000
17,2,0.5000,28,14.0000,1,0,0,2,30,2,1,1,0,0,0,0.5000,0.5000,0.0000,0.0000,0.0000
18,3,0.7500,29,9.6667,1,0,0,3,45,4,4,0,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000
19,3,0.7500,31,10.3333,1,0,0,3,45,4,0,4,0,0,0,0.0000,1.0000,0.0000,0.0000,0.0000
20,7,1.7500,49,7.0000,1,0,0,4,44,12,7,5,0,0,0,0.5833,0.4167,0.0000,0.0000,0.0000
21,5,1.2500,22,4.4000,1,0,0,3,37,9,4,5,0,1,0,0.4444,0.5556,0.0000,0.1111,0.0000
22,3,0.7500,33,11.0000,1,0,0,2,30,4,0,4,0,0,0,0.0000,1.0000,0.0000,0.0000,0.0000
23,6,1.5000,41,6.8333,1,0,0,5,51,10,3,7,0,0,0,0.3000,0.7000,0.0000,0.0000,0.0000
24,2,0.5000,26,13.0000,1,0,0,1,15,2,2,0,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000
25,2,0.5000,31,15.5000,1,0,0,2,30,2,0,2,0,0,0,0.0000,1.0000,0.0000,0.0000,0.0000
26,8,2.0000,40,5.0000,1,0,0,6,66,14,6,8,0,0,0,0.4286,0.5714,0.0000,0.0000,0.0000
27,8,2.0000,39,4.8750,1,0,0,6,66,14,9,5,0,0,0,0.6429,0.3571,0.0000,0.0000,0.0000
28,8,2.0000,38,4.7500,1,0,0,2,30,14,9,5,0,0,0,0.6429,0.3571,0.0000,0.0000,0.0000
29,4,1.0000,42,10.5000,1,0,0,3,37,6,3,3,0,1,0,0.5000,0.5000,0.0000,0.1667,0.0000
30,5,1.2500,32,6.4000,1,0,0,3,37,8,2,6,0,0,0,0.2500,0.7500,0.0000,0.0000,0.0000
31,5,1.2500,40,8.0000,1,0,0,5,59,8,4,4,0,0,0,0.5000,0.5000,0.0000,0.0000,0.0000
32,5,1.2500,24,4.8000,1,0,0,2,30,9,5,4,0,0,0,0.5556,0.4444,0.0000,0.0000,0.0000
33,3,0.7500,28,9.3333,1,0,0,2,30,4,2,2,0,0,0,0.5000,0.5000,0.0000,0.0000,0.0000
34,5,1.2500,26,5.2000,1,0,0,3,37,8,4,4,0,0,0,0.5000,0.5000,0.0000,0.0000,0.0000
35,3,0.7500,23,7.6667,1,0,0,2,30,5,4,1,0,0,0,0.8000,0.2000,0.0000,0.0000,0.0000
